*	name	The 2500 most common chinese characters
过	"汉字: 过
拼音: guo4
英文: (experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
五笔:fp.fpi
F(x):46"	tts_过.mp3		2,0,14,12,12,13,4320,2016-01-25 21:09,2017-01-02 21:09	
发	"汉字: 发
拼音: fa1/fa4
英文: to send out/to show (one's feeling)/to issue/to develop, hair
五笔:v.ntc.ntcy
F(x):47"	tts_发.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
后	"汉字: 后
拼音: hou4
英文: empress/queen/surname, back/behind/rear/afterwards/after/later
五笔:rg.rgk.rgkd
F(x):48"	tts_后.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
作	"汉字: 作
拼音: zuo4
英文: to regard as/to take (somebody) for/to do/to make
五笔:wt.wthf
F(x):49"	tts_作.mp3		2,0,13,12,11,12,4320,2015-12-12 22:19,2016-12-09 22:19	
里	"汉字: 里
拼音: li3
英文: inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown
五笔:jfd
F(x):50"	tts_里.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
用	"汉字: 用
拼音: yong4
英文: to use
五笔:et.etnh
F(x):51"	tts_用.mp3		2,0,10,10,12,13,4320,2015-09-24 21:15,2016-10-07 21:15	
道	"汉字: 道
拼音: dao4
英文: direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
五笔:uthp
F(x):52"	tts_道.mp3		2,0,32,23,7,8,342,2016-04-24 16:44,2016-09-15 22:44	
行	"汉字: 行
拼音: hang2/xing2/xing4
英文: a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct
五笔:tf.tfhh
F(x):53"	tts_行.mp3		2,0,15,12,12,13,4320,2016-03-14 21:29,2017-01-28 20:29	
所	"汉字: 所
拼音: suo3
英文: actually/place
五笔:rn.rnrh
F(x):54"	tts_所.mp3		2,0,22,20,8,9,720,2016-04-07 21:39,2016-09-19 21:39	
然	"汉字: 然
拼音: ran2
英文: correct/right/so/thus/like this/-ly
五笔:qd.qdo.qdou
F(x):55"	tts_然.mp3		2,0,11,11,11,12,4320,2016-03-29 21:20,2017-02-07 20:20	
家	"汉字: 家
拼音: jia1
英文: furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession
五笔:pe.peu
F(x):56"	tts_家.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
